课程序号,课程代码,课程名称,课程类别,学历层次,学生类别,教学班名称,排课信息,教师工号,授课教师,教师所属部门,星期几,第几节,多少周,地点,授课语言,人数上限,实际人数,起始周,结束周,周数,周课时,总课时,学分,备注
0508,100767,应用时间序列分析,必修课,大学本科,本科生 ,22数量经济（中外）,,,,,,,,,,40,0,1,16,16,2,32,2,
0519,100767,应用时间序列分析,选修课,大学本科,本科生 ,22经济学拔尖班,,,,,,,,,,5,0,1,16,16,2,32,2,
0530,100767,应用时间序列分析,选修课,大学本科,本科生 ,22经济学基地班,,,,,,,,,,0,0,1,16,16,2,32,2,
0550,100767,应用时间序列分析,选修课,大学本科,本科生 ,22劳动经济,,,,,,,,,,1,0,1,16,16,2,32,2,
0559,100767,应用时间序列分析,选修课,大学本科,本科生 ,22世界经济,,,,,,,,,,2,0,1,16,16,2,32,2,
0074,101619,政治经济学,必修课,大学本科,本科生 ,24法学金融双学位班,,,,,,,,,,40,0,1,16,16,2,32,2,
0347,101619,政治经济学,选修课,大学本科,本科生 ,24商务英语1班,,,,,,,,,,11,0,1,16,16,2,32,2,
0360,101619,政治经济学,选修课,大学本科,本科生 ,24商务英语2班,,,,,,,,,,7,0,1,16,16,2,32,2,
0374,101619,政治经济学,选修课,大学本科,本科生 ,24英法复语实验班,,,,,,,,,,2,0,1,16,16,2,32,2,
0414,101619,政治经济学,选修课,大学本科,本科生 ,24大数据1班,,,,,,,,,,15,0,1,16,16,2,32,2,
0422,101619,政治经济学,选修课,大学本科,本科生 ,24大数据2班,,,,,,,,,,21,0,1,16,16,2,32,2,
0432,101619,政治经济学,选修课,大学本科,本科生 ,24信息管理,,,,,,,,,,32,0,1,16,16,2,32,2,
0437,101619,政治经济学,选修课,大学本科,本科生 ,24电子商务,,,,,,,,,,29,0,1,16,16,2,32,2,
0456,101619,政治经济学,选修课,大学本科,本科生 ,24计算机技术,,,,,,,,,,8,0,1,16,16,2,32,2,
0008,100094,政治经济学II,必修课,大学本科,本科生 ,24经济学1班,,,,,,,,,,26,0,1,16,16,2,32,2,
0015,100094,政治经济学II,必修课,大学本科,本科生 ,24经济学2班,,,,,,,,,,25,0,1,16,16,2,32,2,
0022,100094,政治经济学II,必修课,大学本科,本科生 ,24经济学3班,,,,,,,,,,28,0,1,16,16,2,32,2,
0029,100094,政治经济学II,必修课,大学本科,本科生 ,24经济数学双学位班,,,,,,,,,,39,0,1,16,16,2,32,2,
0036,100094,政治经济学II,必修课,大学本科,本科生 ,24数量经济,,,,,,,,,,40,0,1,16,16,2,32,2,
0043,100094,政治经济学II,必修课,大学本科,本科生 ,24经济学拔尖班,,,,,,,,,,20,0,1,16,16,2,32,2,
0397,100094,政治经济学II,必修课,大学本科,本科生 ,24数学经济双学位班,,,,,,,,,,34,0,1,16,16,2,32,2,
